Switchers,Traffic,DoS,Slowloris,RestFaults,MalformedPackets
12,0.057,0.06966666666666667,0.07222222222222223,0.05566666666666667,0.06477777777777778
15,0.061111111111111116,0.07411111111111111,0.07533333333333334,0.06811111111111111,0.064
18,0.0677037037037037,0.06955555555555555,0.07855555555555556,0.07166666666666667,0.06962962962962964
21,0.06722222222222224,0.07377777777777778,0.07388888888888889,0.06295061728395061,0.06644444444444446
24,0.06344444444444446,0.06477777777777777,0.07738271604938271,0.07955555555555556,0.06133333333333334
27,0.07622222222222223,0.3720370370370369,0.0745679012345679,0.07311111111111111,0.07244444444444445
30,0.06844444444444443,0.07522222222222223,0.07744444444444436,0.062194444444444455,0.09288888888888888
