Switchers,Traffic,DoS,Slowloris,RestFaults,MalformedPackets
12,0.062,0.073,0.077,0.062,0.069
15,0.067,0.08,0.079,0.074,0.068
18,0.07083333333333333,0.076,0.083,0.075,0.07266666666666667
21,0.07,0.079,0.077,0.06555555555555555,0.07
24,0.067,0.072,0.08044444444444444,0.085,0.066
27,0.079,0.7338333333333332,0.0811111111111111,0.077,0.075
30,0.087,0.313,0.886,0.064875,0.099
