Switchers,Traffic,DoS,Slowloris,RestFaults,MalformedPackets
12,0.02631762306802454,0.0092135166407235,0.022,0.009,0.013
15,0.015,0.011,0.01,0.01,0.011
18,2.281,0.116,2.043,2.3,0.009
21,3.97,5.181,4.796,5.763,3.9
24,9.065,10.409214232472115,10.577,12.810444082206258,11.024
