Switchers,Traffic,DoS,Slowloris,RestFaults,MalformedPackets
12,0.06169135802469136,0.061518518518518514,0.06877777777777777,0.052222222222222225,0.05666666666666667
15,0.05688888888888889,0.06222222222222223,0.05511111111111112,0.05344444444444445,0.059333333333333335
18,0.06133333333333319,0.06322222222222222,0.06277777777777772,0.060222222222222205,0.059555555555555556
21,0.7371111111111107,0.0818888888888887,0.06811111111111146,1.2156666666666665,0.06177777777777788
24,1.6378888888888885,2.932499999999999,1.6308888888888893,2.6738888888888894,0.08711111111111099
