Switchers,Traffic,DoS,Slowloris,RestFaults,MalformedPackets
12,0.107,0.103,0.12,0.119,0.107
15,0.12,0.133,0.112,0.127,0.104
18,0.099,0.134,0.123,0.105,0.1
21,0.095,0.126,0.105,0.089,0.102
24,0.099,0.137,0.108,0.134,0.108
27,0.104,3.99,0.14,0.112,0.098
30,0.254,2.453,8.163,0.089,0.154
