num_switches,min_time,max_time,avg_time,mdev,avg_time_excl_max
12,0.115,0.228,0.15,0.032,0.14133333333333334
15,0.118,0.155,0.133,0.012,0.13055555555555556
18,0.118,0.153,0.131,0.012,0.12855555555555556
21,0.138,0.215,0.168,0.026,0.1627777777777778
24,0.114,31.783,3.375,9.471,0.21855555555555542
27,0.122,5.603,0.698,1.635,0.15299999999999997
30,0.114,134.582,13.673,40.303,0.23866666666666625
