num_switches,min_time,max_time,avg_time,mdev,avg_time_excl_max
12,0.044,0.137,0.06922222222222223,0.02631762306802454,0.06169135802469136
15,0.043,0.088,0.06,0.015,0.05688888888888889
18,0.047,7.668,0.822,2.281,0.06133333333333319
21,0.045,12.486,1.912,3.97,0.7371111111111107
24,0.046,28.389,4.313,9.065,1.6378888888888885
