num_switches,min_time,max_time,avg_time,mdev,avg_time_excl_max
12,0.046,0.121,0.074,0.022,0.06877777777777777
15,0.048,0.084,0.058,0.01,0.05511111111111112
18,0.048,6.875,0.744,2.043,0.06277777777777772
21,0.046,16.057,1.667,4.796,0.06811111111111146
24,0.051,33.992,4.867,10.577,1.6308888888888893
