num_switches,min_time,avg_time,max_time,mdev,avg_time_excl_max
12,0.054,0.131,0.08,0.018,0.07433333333333333
15,0.055,0.118,0.078,0.017,0.07355555555555555
18,0.048,0.097,0.075,0.013,0.07255555555555555
21,0.067,0.115,0.084,0.016,0.08055555555555556
24,0.053,0.139,0.081,0.023,0.07455555555555556
27,0.064,0.114,0.082,0.015,0.07844444444444446
30,0.056,10.2,1.087,3.037,0.07444444444444444
