num_switches,min_time,max_time,avg_time,mdev,avg_time_excl_max
12,0.107,0.157,0.133,0.013,0.13033333333333333
15,0.12,0.24,0.163,0.041,0.15444444444444447
18,0.111,0.217,0.15,0.031,0.14255555555555555
21,0.129,0.216,0.158,0.025,0.15155555555555555
24,0.122,60.852,6.758,18.103,0.7475555555555558
27,0.139,5.637,0.699,1.645,0.15033333333333332
30,0.127,70.656,7.254,21.134,0.2093333333333318
