num_switches,min_value,avg_value,max_value,mdev_value
12,-0.020247936248779297,1.4237100261531463,19.906922340393066,1.785357227668147
15,None,None,None,None
18,None,None,None,None
21,None,None,None,None
24,None,None,None,None
