num_switches,min_time,avg_time,max_time,mdev,avg_time_excl_max
12,0.052,0.119,0.06911111111111111,0.01971149943247705,0.0635679012345679
15,0.056,0.122,0.073,0.019,0.06755555555555555
18,0.051,0.07,0.059,0.005,0.05777777777777778
21,0.06,0.094,0.074,0.009,0.07177777777777777
24,0.051,0.092,0.068,0.01,0.06533333333333334
27,0.06,0.114,0.076,0.015,0.07177777777777777
30,0.049,10.142,1.544,3.194,0.5886666666666669
