num_switches,min_time,avg_time,max_time,mdev,avg_time_excl_max
12,0.053,0.104,0.071,0.014,0.06733333333333333
15,0.05,0.098,0.072,0.015351438586225941,0.06911111111111111
18,0.053,0.096,0.071,0.013,0.06822222222222223
21,0.065,0.087,0.07625,0.006869315832017043,0.07505555555555556
24,0.057,0.086,0.068,0.009,0.066
27,0.062,0.083,0.06933333333333334,0.007431165603202652,0.06781481481481483
30,0.051,4.59,0.522,1.356,0.07000000000000009
12,None,None,None,None,None
