num_switches,min_time,avg_time,max_time,mdev,avg_time_excl_max
12,0.064,0.094,0.074,0.009,0.07177777777777777
15,0.052,0.069,0.05714285714285714,0.0055915387973659815,0.05582539682539683
18,0.053,0.077,0.06566666666666666,0.00760116950066092,0.06440740740740741
21,0.058,0.085,0.068,0.01,0.06611111111111112
24,0.055,0.085,0.069,0.008,0.06722222222222224
27,0.056,0.093,0.071,0.013,0.06855555555555555
30,0.05,9.585,1.024,2.853,0.0727777777777777
