num_switches,min_time,avg_time,max_time,mdev,avg_time_excl_max
12,0.043,0.083,0.061,0.011,0.058555555555555555
15,0.051,0.076,0.06,0.007,0.058222222222222224
18,0.052,0.092,0.072,0.012,0.06977777777777777
21,0.053,0.088,0.06714285714285714,0.010245954901166344,0.06482539682539684
24,0.051,0.092,0.066,0.011,0.06311111111111112
27,0.054,0.085,0.067,0.01,0.065
30,0.05,5.404,0.598,1.601,0.06399999999999996
