Switchers,Traffic,DoS,Slowloris,RestFaults,MalformedPackets
12,0.0270540714263916,0.21642351150512695,0.01969003677368164,0.025852203369140625,0.03995704650878906
15,0.013807058334350586,0.0169219970703125,0.01610088348388672,0.012652873992919922,0.02700185775756836
18,0.015161275863647461,0.013025045394897461,0.21532130241394043,1.012951135635376,0.21454596519470215
21,0.010955810546875,0.016138076782226562,0.01314854621887207,0.011338949203491211,0.031378984451293945
24,0.014035940170288086,0.014327526092529297,0.016538381576538086,,0.011560201644897461
27,1.0334179401397705,0.01771068572998047,0.01531529426574707,,0.210892915725708
