Switchers,Traffic,DoS,Slowloris,RestFaults,MalformedPackets
12,0.017361799877223992,0.28297827392128744,0.04062129017705229,0.08726013289575771,0.07183044866177306
15,0.4234534316606116,0.9959420748797698,0.03874911320652829,0.07513931676640029,0.06320897128541762
18,None,None,0.2952096158594885,0.10436432544838968,0.11443786079317983
21,None,None,0.17673839091380472,0.1439375840718969,0.4368532613355951
24,None,None,0.3368463411682267,2.363689511876117,0.78586253880963
27,None,None,0.44314583937808993,0.2393811749404987,None
30,None,None,None,0.4252249369680026,None
