Switchers,Traffic,DoS,Slowloris,RestFaults,MalformedPackets
12,0.0518,0.056999999999999995,0.058,0.054,0.058
15,0.061,0.07,0.057,0.048,0.059
18,0.057625,0.067,None,0.052,None
21,0.11083333333333334,1.025,2.175,1.129,
24,None,5.103,None,2.032,
27,None,None,None,None,
