Switchers,Traffic,DoS,Slowloris,RestFaults,MalformedPackets
12,0.009,0.016,0.011,0.011,0.009
15,0.006,0.011,0.02315167380558045,0.007,0.0055915387973659815
18,0.014,0.006,0.016,0.012,0.00760116950066092
21,0.01694107434609742,11.647973610648977,0.01,0.010245954901166344,0.01
24,0.015860503004493758,0.007,0.013,0.011,0.008
27,0.01,0.01,None,0.01,0.013
30,0.253,1.389,8.430696017941745,1.601,2.853
