Switchers,Traffic,DoS,Slowloris,RestFaults,MalformedPackets
12,0.077,0.106,0.09,0.083,0.094
15,0.069,0.099,0.123,0.076,0.069
18,0.106,0.075,0.107,0.092,0.077
21,0.11,35.3,0.099,0.088,0.085
24,0.104,0.079,0.1,0.092,0.085
27,0.082,0.092,None,0.085,0.093
30,0.905,4.708,24.5,5.404,9.585
