Switchers,Traffic,DoS,Slowloris,RestFaults,MalformedPackets
12,0.059222222222222225,0.07711111111111112,0.06666666666666668,0.058555555555555555,0.07177777777777777
15,0.05677777777777779,0.07566666666666667,0.07744444444444443,0.058222222222222224,0.05582539682539683
18,0.06822222222222223,0.06055555555555556,0.07144444444444445,0.06977777777777777,0.06440740740740741
21,0.07500000000000001,1.0581944444444435,0.07011111111111111,0.06482539682539684,0.06611111111111112
24,0.056592592592592604,0.06233333333333334,0.06666666666666668,0.06311111111111112,0.06722222222222224
27,0.062000000000000006,0.07311111111111111,None,0.065,0.06855555555555555
30,0.06166666666666666,0.07466666666666673,2.083650793650793,0.06399999999999996,0.0727777777777777
