Switchers,Traffic,DoS,Slowloris,RestFaults,MalformedPackets
12,0.004161291122436524,0.0055244827270507805,0.03742846012115479,0.003660478591918945,0.003505859374999999
15,0.0016395759582519532,0.004181194305419922,0.001543560028076172,0.0016785144805908203,0.0019247055053710938
18,0.0017429113388061524,0.0016904449462890624,0.0010996103286743165,0.00157383918762207,0.007066650390625
21,0.001198577880859375,0.0360435438156128,0.0012038230895996093,0.002126779556274414,0.0019243431091308597
24,0.0011879491806030275,0.001627063751220703,0.0014737033843994142,0.00127934455871582,0.0012386226654052736
27,0.005255422592163086,0.0013465309143066407,0.0016667366027832032,0.0014053916931152342,0.0013875007629394532
30,0.0020919609069824214,0.0040838909149169935,0.0015616464614868167,0.000794672966003418,0.0015635013580322266
