Switchers,Traffic,DoS,Slowloris,RestFaults,MalformedPackets
12,0.009410632284814872,0.008000000000000002,0.013,0.01,0.015
15,0.007,0.013,0.01,0.006,0.016
18,0.011157256607248934,0.014,None,0.005,None
21,0.12554071937910113,2.889,4.461,3.227,
24,None,11.079,None,5.848,
27,None,None,None,None,
