Switchers,Traffic,DoS,Slowloris,RestFaults,MalformedPackets
12,0.002872800827026367,0.03626081943511963,0.002056121826171875,0.0035300064086914067,0.007432031631469727
15,0.0012360286712646486,0.002289638519287109,0.0016614675521850586,0.0015870094299316405,0.003275561332702637
18,0.0019039249420166014,0.001367917060852051,0.03667622566223145,0.19243443489074707,0.03637290954589843
21,0.001187000274658203,0.0017323970794677734,0.0011593818664550782,0.001569709777832031,0.004233632087707519
24,0.001203441619873047,0.0016913270950317382,0.0022976589202880855,,0.0010332393646240233
27,0.1843508005142212,0.001627359390258789,0.0018124580383300781,,0.03616841316223143
