Switchers,Traffic,DoS,Slowloris,RestFaults,MalformedPackets
12,0.018903376729160315,0.18402317431780027,0.038142541393846124,0.08718270193921389,0.08010404928921172
15,0.28743990656755697,0.7506108387208088,0.030384776604953312,0.05959487933300794,0.05706186945674008
18,None,None,0.22131686754438165,0.08615667155794261,0.07641742026779992
21,None,None,0.1956994012252561,0.12558199670275313,0.24976544501251696
24,None,None,0.3788029958424268,1.2788339061356677,0.8340536505216543
27,None,None,0.4914580266465069,0.2025564619138794,None
30,None,None,None,0.3228732849064914,None
