Switchers,Traffic,DoS,Slowloris,RestFaults,MalformedPackets
12,0.05077777777777778,0.055666666666666656,0.054777777777777786,0.052333333333333336,0.053666666666666675
15,0.05966666666666667,0.06744444444444446,0.054000000000000006,0.04666666666666666,0.05544444444444444
18,0.055694444444444456,0.06455555555555556,None,0.050333333333333334,None
21,0.07970370370370371,0.06188888888888893,0.8834444444444445,0.05299999999999984,
24,None,1.7158888888888886,None,0.0825555555555554,
27,None,None,None,None,
