Switchers,Traffic,DoS,Slowloris,RestFaults,MalformedPackets
12,0.4818474579240815,0.6353721398752821,207.1237920111431,90.08584301363506,1.7681953452710675
15,1.1992902691804144,1.0872108446988284,13.219081669344993,475.8629373814022,1547.7117446563698
18,1.3534036663760969,1.503203259475908,640.9537056729083,4316.983122106255,
21,12.356756314847633,26.228966274570826,2605.562138610615,618.4240644197214,
24,25.50466131619756,2.6386629031949247,2783.6575173622964,4.946946637006077,
27,94.54262902149165,107.96435238359743,96.59761782098798,482.2280467912875,
30,12.129852172488219,4.150387804322496,15.668241793870754,None,
