Switchers,Traffic,DoS,Slowloris,RestFaults,MalformedPackets
12,0.026273727416992188,0.04667353630065918,0.22419071197509766,0.025668621063232422,0.0318303108215332
15,0.013509988784790039,0.03168201446533203,0.014312982559204102,0.012496232986450195,0.019143104553222656
18,0.01356053352355957,0.014705657958984375,0.012342691421508789,0.012886285781860352,0.04890775680541992
21,0.012277364730834961,0.21298789978027344,0.012756586074829102,0.016216754913330078,0.017087697982788086
24,0.014235973358154297,0.015654325485229492,0.012807846069335938,0.012064218521118164,0.011860132217407227
27,0.036325931549072266,0.012424945831298828,0.013544559478759766,0.01055002212524414,0.014594078063964844
30,0.01613759994506836,0.03093242645263672,0.01512598991394043,0.010270357131958008,0.014065265655517578
