num_switches,min_time,avg_time,max_time,mdev,avg_time_excl_max
12,0.051,0.083,0.071,0.008,0.06966666666666667
15,0.06,0.079,0.072,0.005,0.07122222222222223
18,0.053,4.669,0.536,1.377,0.07677777777777786
21,0.051,32.786,3.371,9.805,0.10266666666666661
24,0.058,42.79,4.536,12.765,0.28555555555555556
27,None,None,None,None,None
