num_switches,min_time,max_time,avg_time,mdev,avg_time_excl_max
12,0.121,0.196,0.147,0.021,0.14155555555555555
15,0.141,0.257,0.175,0.03,0.16588888888888886
18,0.126,0.161,0.145,0.012,0.14322222222222222
21,0.134,0.26,0.176,0.036,0.16666666666666663
24,0.135,72.943,7.891,21.726,0.6629999999999998
27,0.132,5.406,0.69,1.572,0.16599999999999998
30,0.128,75.2,12.808333333333332,27.904087004515226,5.875925925925923
