num_switches,min_time,avg_time,max_time,mdev,avg_time_excl_max
12,0.047,0.069,0.056999999999999995,0.008000000000000002,0.055666666666666656
15,0.051,0.093,0.07,0.013,0.06744444444444446
18,0.049,0.089,0.067,0.014,0.06455555555555556
21,0.05,9.693,1.025,2.889,0.06188888888888893
24,0.049,35.587,5.103,11.079,1.7158888888888886
27,None,None,None,None,None
