num_switches,min_value,avg_value,max_value,mdev_value
12,-9.5367431640625e-06,0.7338655326519226,51.1346378326416,0.916027715084183
15,None,None,None,None
18,None,None,None,None
21,None,None,None,None
24,None,None,None,None
27,None,None,None,None
